id,name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points,turnovers,efficiency
1,Shai Gilgeous-Alexander,OKC,PG,76.0,11.3,21.8,0.519,5.0,6.4,1.7,1.0,32.7,2.4,30.7
2,Giannis Antetokounmpo,MIL,PF,67.0,11.8,19.7,0.601,11.9,6.5,0.9,1.2,30.4,3.1,30.5
3,Nikola Jokić,DEN,C,70.0,11.2,19.5,0.576,12.7,10.2,1.8,0.6,29.6,3.3,32.0
4,Luka Dončić,multi_team,PG,50.0,9.2,20.5,0.45,8.2,7.7,1.8,0.4,28.2,3.6,24.1
5,Luka Dončić,DAL,PG,22.0,9.8,21.2,0.464,8.3,7.8,2.0,0.4,28.1,3.4,24.1
6,Luka Dončić,LAL,PG,28.0,8.8,20.0,0.438,8.1,7.5,1.6,0.4,28.2,3.7,24.1
7,Anthony Edwards,MIN,SG,79.0,9.1,20.4,0.447,5.7,4.5,1.2,0.6,27.6,3.2,20.1
8,Jayson Tatum,BOS,PF,72.0,9.2,20.3,0.452,8.7,6.0,1.1,0.5,26.8,2.9,21.7
9,Kevin Durant,PHO,PF,62.0,9.5,18.1,0.527,6.0,4.2,0.8,1.2,26.6,3.1,21.2
10,Tyrese Maxey,PHI,PG,52.0,9.2,21.0,0.437,3.3,6.1,1.8,0.4,26.3,2.4,19.5
11,Cade Cunningham,DET,PG,70.0,9.8,20.8,0.469,6.1,9.1,1.0,0.8,26.1,4.4,20.6
12,Jalen Brunson,NYK,PG,65.0,9.0,18.5,0.488,2.9,7.3,0.9,0.1,26.0,2.5,21.6
13,Paolo Banchero,ORL,PF,46.0,9.0,19.8,0.452,7.5,4.8,0.8,0.6,25.9,3.0,20.0
14,Devin Booker,PHO,SG,75.0,8.7,18.9,0.461,4.1,7.1,0.9,0.2,25.6,2.9,19.3
15,LaMelo Ball,CHO,PG,47.0,8.6,21.3,0.405,4.9,7.4,1.1,0.3,25.2,3.6,19.1
16,Damian Lillard,MIL,PG,58.0,7.7,17.1,0.448,4.7,7.1,1.2,0.2,24.9,2.8,21.3
17,Anthony Davis,multi_team,PF,51.0,9.2,17.8,0.516,11.6,3.5,1.2,2.2,24.7,2.2,26.3
18,Anthony Davis,LAL,C,42.0,9.5,18.0,0.528,11.9,3.4,1.3,2.1,25.7,2.2,26.3
19,Anthony Davis,DAL,PF,9.0,7.8,16.9,0.461,10.1,4.4,0.6,2.2,20.0,2.2,26.3
20,Kyrie Irving,DAL,SG,50.0,8.9,18.9,0.473,4.8,4.6,1.3,0.5,24.7,2.2,19.9
21,Zion Williamson,NOP,PF,30.0,9.6,16.9,0.567,7.2,5.3,1.2,0.9,24.6,3.0,27.3
22,Stephen Curry,GSW,PG,70.0,8.1,18.0,0.448,4.4,6.0,1.1,0.4,24.5,2.9,21.5
23,LeBron James,LAL,SF,70.0,9.3,18.1,0.513,7.8,8.2,1.0,0.6,24.4,3.7,22.7
24,Karl-Anthony Towns,NYK,C,72.0,8.9,16.9,0.526,12.8,3.1,1.0,0.7,24.4,2.7,23.4
25,Victor Wembanyama,SAS,C,46.0,8.9,18.6,0.476,11.0,3.7,1.1,3.8,24.3,3.2,24.2
26,Franz Wagner,ORL,SF,60.0,9.0,19.4,0.463,5.7,4.7,1.3,0.4,24.2,2.3,20.1
27,Trae Young,ATL,PG,76.0,7.4,18.1,0.411,3.1,11.6,1.2,0.2,24.2,4.7,18.3
28,Donovan Mitchell,CLE,SG,71.0,8.2,18.6,0.443,4.5,5.0,1.3,0.2,24.0,2.1,20.9
29,Cam Thomas,BRK,SG,25.0,8.0,18.2,0.438,3.3,3.8,0.6,0.1,24.0,2.5,18.0
30,Tyler Herro,MIA,SG,77.0,8.5,17.9,0.472,5.2,5.5,0.9,0.2,23.9,2.6,19.7
31,Joel Embiid,PHI,C,19.0,7.4,16.6,0.444,8.2,4.5,0.7,0.9,23.8,3.3,23.4
32,De'Aaron Fox,multi_team,PG,62.0,8.7,18.8,0.463,4.8,6.3,1.5,0.4,23.5,2.8,18.3
33,De'Aaron Fox,SAC,PG,45.0,9.2,19.6,0.469,5.0,6.1,1.5,0.4,25.0,3.0,18.3
34,De'Aaron Fox,SAS,PG,17.0,7.4,16.5,0.446,4.3,6.8,1.5,0.3,19.7,2.4,18.3
35,Zach LaVine,multi_team,SF,74.0,8.4,16.5,0.511,4.3,4.2,0.8,0.2,23.3,2.8,17.3
36,Zach LaVine,CHI,SF,42.0,8.6,16.9,0.511,4.8,4.5,0.9,0.2,24.0,2.9,17.3
37,Zach LaVine,SAC,SG,32.0,8.2,16.0,0.511,3.5,3.8,0.6,0.1,22.4,2.7,17.3
38,Ja Morant,MEM,PG,50.0,8.1,17.8,0.454,4.1,7.3,1.2,0.2,23.2,3.7,19.3
39,James Harden,LAC,PG,79.0,6.7,16.4,0.41,5.8,8.7,1.5,0.7,22.8,4.3,20.0
40,Jaylen Brown,BOS,SF,63.0,8.2,17.7,0.463,5.8,4.5,1.2,0.3,22.2,2.6,17.8
41,DeMar DeRozan,SAC,SF,77.0,8.1,17.0,0.477,3.9,4.4,0.8,0.4,22.2,1.4,17.7
42,Brandon Ingram,NOP,SF,18.0,8.6,18.5,0.465,5.6,5.2,0.9,0.6,22.2,3.8,16.0
43,Jaren Jackson Jr.,MEM,C,74.0,8.0,16.4,0.488,5.6,2.0,1.2,1.5,22.2,2.1,19.6
44,Norman Powell,LAC,SG,60.0,7.6,15.8,0.484,3.2,2.1,1.2,0.2,21.8,1.8,17.5
45,Jalen Williams,OKC,SG,69.0,8.2,16.9,0.484,5.3,5.1,1.6,0.7,21.6,2.2,20.3
46,Kawhi Leonard,LAC,SF,37.0,8.4,16.8,0.498,5.9,3.1,1.6,0.5,21.5,1.9,20.5
47,Jamal Murray,DEN,PG,67.0,7.9,16.7,0.474,3.9,6.0,1.4,0.5,21.4,2.1,17.8
48,Trey Murphy III,NOP,SF,53.0,7.2,15.8,0.454,5.1,3.5,1.1,0.7,21.2,1.9,17.3
49,RJ Barrett,TOR,SF,58.0,7.9,16.9,0.468,6.3,5.4,0.8,0.3,21.1,2.8,16.5
50,CJ McCollum,NOP,PG,56.0,7.9,17.9,0.444,3.8,4.1,0.8,0.4,21.1,1.9,15.8
51,Jalen Green,HOU,SG,82.0,7.4,17.5,0.423,4.6,3.4,0.9,0.3,21.0,2.5,15.1
52,Brandon Miller,CHO,SF,27.0,7.3,18.2,0.403,4.9,3.6,1.1,0.7,21.0,2.8,14.0
53,Darius Garland,CLE,PG,75.0,7.4,15.7,0.472,2.9,6.7,1.2,0.1,20.6,2.5,19.9
54,Jordan Poole,WAS,SG,68.0,6.7,15.5,0.432,3.0,4.5,1.3,0.4,20.5,3.0,16.6
55,Coby White,CHI,SG,74.0,6.9,15.1,0.453,3.7,4.5,0.9,0.2,20.4,2.4,15.5
56,Miles Bridges,CHO,PF,64.0,7.3,17.0,0.431,7.5,3.9,0.7,0.7,20.3,2.1,17.7
57,Austin Reaves,LAL,SG,73.0,6.5,14.2,0.46,4.5,5.8,1.1,0.3,20.2,2.4,18.1
58,Pascal Siakam,IND,PF,78.0,7.9,15.2,0.519,6.9,3.4,0.9,0.5,20.2,1.4,19.2
59,Kristaps Porziņģis,BOS,C,42.0,6.6,13.7,0.483,6.8,2.1,0.7,1.5,19.5,1.3,22.3
60,Scottie Barnes,TOR,PF,65.0,7.3,16.4,0.446,7.7,5.8,1.4,1.0,19.3,2.8,17.8
61,Anfernee Simons,POR,SG,70.0,6.8,16.1,0.426,2.7,4.8,0.9,0.1,19.3,2.0,14.9
62,Desmond Bane,MEM,SG,69.0,7.1,14.8,0.484,6.1,5.3,1.2,0.4,19.2,2.4,17.9
63,Domantas Sabonis,SAC,C,70.0,7.5,12.8,0.59,13.9,6.0,0.7,0.4,19.1,2.9,22.9
64,Alperen Şengün,HOU,C,76.0,7.5,15.0,0.496,10.3,4.9,1.1,0.8,19.1,2.6,21.4
65,John Collins,UTA,PF,40.0,7.0,13.3,0.527,8.2,2.0,1.0,1.0,19.0,2.6,19.0
66,Lauri Markkanen,UTA,PF,47.0,6.3,14.9,0.423,5.9,1.5,0.7,0.4,19.0,1.4,15.6
67,Jalen Johnson,ATL,SF,36.0,7.5,15.1,0.5,10.0,5.0,1.6,1.0,18.9,2.9,17.3
68,Cameron Johnson,BRK,PF,57.0,6.2,13.1,0.475,4.3,3.4,0.9,0.4,18.8,1.7,18.2
69,Julius Randle,MIN,PF,69.0,6.6,13.6,0.485,7.1,4.7,0.7,0.2,18.7,2.8,17.5
70,Tyrese Haliburton,IND,PG,73.0,6.5,13.8,0.473,3.5,9.2,1.4,0.7,18.6,1.6,21.8
71,Evan Mobley,CLE,PF,71.0,7.1,12.8,0.557,9.3,3.2,0.9,1.6,18.5,2.0,22.3
72,Shaedon Sharpe,POR,SG,72.0,6.9,15.3,0.452,4.5,2.8,0.9,0.2,18.5,2.1,14.5
73,Nikola Vučević,CHI,C,73.0,7.5,14.2,0.53,10.1,3.5,0.8,0.7,18.5,1.6,20.3
74,Collin Sexton,UTA,SG,63.0,6.6,13.8,0.48,2.7,4.2,0.7,0.1,18.4,2.5,16.6
75,Michael Porter Jr.,DEN,SF,77.0,6.9,13.6,0.504,7.0,2.1,0.6,0.5,18.2,1.4,16.2
76,Bam Adebayo,MIA,C,78.0,6.9,14.3,0.485,9.6,4.3,1.3,0.7,18.1,2.1,18.9
77,Andrew Wiggins,multi_team,SF,60.0,6.3,14.0,0.448,4.5,2.6,1.0,0.8,18.0,1.7,16.4
78,Andrew Wiggins,GSW,SF,43.0,6.1,13.7,0.444,4.6,2.4,0.9,0.8,17.6,1.3,16.4
79,Andrew Wiggins,MIA,SF,17.0,6.8,14.8,0.458,4.2,3.3,1.2,1.0,19.0,2.5,16.4
80,OG Anunoby,NYK,PF,74.0,6.6,13.9,0.476,4.8,2.2,1.5,0.9,18.0,1.4,15.4
81,Mikal Bridges,NYK,SF,82.0,7.2,14.4,0.5,3.2,3.7,0.9,0.5,17.6,1.6,14.0
82,Jaden Ivey,DET,SG,30.0,6.3,13.8,0.46,4.1,4.0,0.9,0.4,17.6,3.0,14.7
83,Jimmy Butler,multi_team,SF,55.0,5.5,10.9,0.504,5.4,5.4,1.4,0.3,17.5,1.3,22.4
84,Jimmy Butler,MIA,PF,25.0,5.7,10.5,0.54,5.2,4.8,1.1,0.4,17.0,1.2,22.4
85,Jimmy Butler,GSW,SF,30.0,5.3,11.1,0.476,5.5,5.9,1.7,0.3,17.9,1.5,22.4
86,Dejounte Murray,NOP,PG,31.0,6.3,15.9,0.393,6.5,7.4,2.0,0.4,17.5,3.4,15.4
87,Malik Monk,SAC,SG,65.0,6.3,14.4,0.439,3.8,5.6,0.9,0.6,17.2,2.4,15.0
88,Immanuel Quickley,TOR,PG,33.0,5.6,13.3,0.42,3.5,5.8,0.7,0.1,17.1,1.8,17.5
89,De'Andre Hunter,multi_team,SF,64.0,5.6,11.9,0.47,4.0,1.4,0.8,0.2,17.0,1.3,15.9
90,De'Andre Hunter,ATL,SF,37.0,6.1,13.3,0.461,3.9,1.5,0.8,0.1,19.0,1.6,15.9
91,De'Andre Hunter,CLE,SF,27.0,4.9,10.0,0.485,4.2,1.3,0.7,0.3,14.3,0.9,15.9
92,Bradley Beal,PHO,SG,53.0,6.5,13.1,0.497,3.3,3.7,1.1,0.5,17.0,1.9,15.2
93,Deni Avdija,POR,SF,72.0,5.6,11.7,0.476,7.3,3.9,1.0,0.5,16.9,2.7,17.7
94,Keyonte George,UTA,PG,67.0,5.4,13.7,0.391,3.8,5.6,0.7,0.1,16.8,2.7,12.9
95,Ivica Zubac,LAC,C,80.0,7.4,11.8,0.628,12.6,2.7,0.7,1.1,16.8,1.6,22.3
96,Derrick White,BOS,SG,76.0,5.6,12.6,0.442,4.5,4.8,0.9,1.1,16.4,1.7,16.6
97,Malik Beasley,DET,SG,82.0,5.6,13.1,0.43,2.6,1.7,0.9,0.1,16.3,1.0,14.4
98,Devin Vassell,SAS,SG,64.0,6.2,13.9,0.443,4.0,2.9,1.3,0.5,16.3,1.4,14.2
99,Jordan Clarkson,UTA,SG,37.0,5.4,13.3,0.408,3.2,3.7,0.8,0.2,16.2,2.3,14.5
100,Paul George,PHI,PF,41.0,6.0,13.9,0.43,5.3,4.3,1.8,0.5,16.2,2.6,14.5
101,Jalen Suggs,ORL,PG,35.0,5.6,13.7,0.41,4.0,3.7,1.5,0.9,16.2,2.9,14.4
102,Bennedict Mathurin,IND,SF,72.0,5.4,11.8,0.458,5.3,1.9,0.7,0.3,16.1,1.9,13.6
103,Myles Turner,IND,C,72.0,5.4,11.3,0.481,6.5,1.5,0.8,2.0,15.6,1.7,16.1
104,Christian Braun,DEN,SG,79.0,6.0,10.4,0.58,5.2,2.6,1.1,0.5,15.4,1.0,16.0
105,Jonathan Kuminga,GSW,PF,47.0,5.5,12.1,0.454,4.6,2.2,0.8,0.4,15.3,1.5,15.7
106,Jared McCain,PHI,SG,23.0,5.5,11.9,0.46,2.4,2.6,0.7,0.0,15.3,1.6,15.2
107,Mark Williams,CHO,C,44.0,6.1,10.2,0.604,10.2,2.5,0.7,1.2,15.3,1.6,23.9
108,Kelly Oubre Jr.,PHI,SF,60.0,5.8,12.4,0.47,6.1,1.8,1.5,0.5,15.1,1.3,13.5
109,Chet Holmgren,OKC,C,32.0,5.2,10.7,0.49,8.0,2.0,0.7,2.2,15.0,1.8,19.2
110,Kyle Kuzma,multi_team,PF,65.0,5.7,13.0,0.436,5.7,2.3,0.6,0.3,14.8,2.2,10.6
111,Kyle Kuzma,WAS,PF,32.0,6.0,14.2,0.42,5.8,2.5,0.6,0.2,15.2,2.3,10.6
112,Kyle Kuzma,MIL,PF,33.0,5.4,11.9,0.455,5.6,2.2,0.5,0.4,14.5,2.2,10.6
113,Stephon Castle,SAS,PG,81.0,5.2,12.2,0.428,3.7,4.1,0.9,0.3,14.7,2.2,13.7
114,Aaron Gordon,DEN,PF,51.0,5.2,9.7,0.531,4.8,3.2,0.5,0.3,14.7,1.4,17.0
115,P.J. Washington,DAL,PF,57.0,5.3,11.7,0.453,7.8,2.3,1.1,1.1,14.7,2.1,14.0
116,Quentin Grimes,multi_team,SG,75.0,5.1,11.0,0.467,4.3,3.0,1.0,0.3,14.6,1.9,15.9
117,Quentin Grimes,DAL,SG,47.0,3.6,7.8,0.463,3.8,2.1,0.7,0.2,10.2,1.3,15.9
118,Quentin Grimes,PHI,SG,28.0,7.7,16.4,0.469,5.2,4.5,1.5,0.4,21.9,2.9,15.9
119,Josh Giddey,CHI,PG,70.0,5.3,11.4,0.465,8.1,7.2,1.2,0.6,14.6,2.9,18.1
120,Jakob Poeltl,TOR,C,57.0,6.4,10.2,0.627,9.6,2.8,1.2,1.2,14.5,1.9,20.0
121,Deandre Ayton,POR,C,40.0,6.6,11.7,0.566,10.2,1.6,0.8,1.0,14.4,1.7,17.7
122,Gradey Dick,TOR,SG,54.0,4.9,12.0,0.41,3.6,1.8,0.9,0.2,14.4,1.5,10.9
123,Jerami Grant,POR,PF,47.0,4.6,12.2,0.373,3.5,2.1,0.9,1.0,14.4,1.4,10.9
124,Payton Pritchard,BOS,PG,80.0,5.1,10.8,0.472,3.8,3.5,0.9,0.2,14.3,1.0,17.6
125,Naz Reid,MIN,C,80.0,5.3,11.5,0.462,6.0,2.3,0.7,0.9,14.2,1.4,15.8
126,Dyson Daniels,ATL,SG,76.0,6.0,12.1,0.493,5.9,4.4,3.0,0.7,14.1,2.0,15.6
127,Tre Mann,CHO,PG,13.0,5.4,12.4,0.435,2.9,3.0,0.5,0.3,14.1,1.9,13.3
128,Amen Thompson,HOU,SF,69.0,5.6,10.1,0.557,8.2,3.8,1.4,1.3,14.1,2.0,18.7
129,Fred VanVleet,HOU,PG,60.0,4.8,12.7,0.378,3.7,5.6,1.6,0.4,14.1,1.5,12.8
130,Dillon Brooks,HOU,SF,75.0,5.1,11.9,0.429,3.7,1.7,0.8,0.2,14.0,1.0,11.0
131,Tolu Smith,DET,PF,1.0,6.0,9.0,0.667,8.0,0.0,0.0,0.0,14.0,2.0,19.5
132,Klay Thompson,DAL,SF,72.0,5.0,12.2,0.412,3.4,2.0,0.7,0.4,14.0,1.2,12.9
133,Bobby Portis,MIL,PF,49.0,5.7,12.1,0.466,8.4,2.1,0.7,0.5,13.9,1.2,17.7
134,Tobias Harris,DET,PF,73.0,5.3,11.0,0.477,5.9,2.2,1.0,0.8,13.7,1.2,13.9
135,Josh Hart,NYK,SG,77.0,5.2,10.0,0.525,9.6,5.9,1.5,0.4,13.6,2.1,16.5
136,Jarrett Allen,CLE,C,82.0,5.5,7.8,0.706,9.7,1.9,0.9,0.9,13.5,1.2,22.1
137,Onyeka Okongwu,ATL,C,74.0,5.2,9.2,0.567,8.9,2.3,0.9,0.9,13.4,1.2,19.0
138,Russell Westbrook,DEN,PG,75.0,5.0,11.1,0.449,4.9,6.1,1.4,0.5,13.3,3.2,14.3
139,Naji Marshall,DAL,SF,69.0,5.2,10.3,0.508,4.8,3.0,1.0,0.2,13.2,1.6,15.1
140,Dennis Schröder,multi_team,PG,75.0,4.5,11.0,0.406,2.6,5.4,0.9,0.2,13.1,1.9,12.7
141,Dennis Schröder,BRK,PG,23.0,6.4,14.1,0.452,3.0,6.6,1.1,0.2,18.4,2.6,12.7
142,Dennis Schröder,GSW,SG,24.0,3.9,10.5,0.375,2.3,4.4,1.0,0.1,10.6,2.0,12.7
143,Dennis Schröder,DET,PG,28.0,3.4,9.0,0.378,2.6,5.3,0.5,0.2,10.8,1.3,12.7
144,Rui Hachimura,LAL,PF,59.0,5.0,9.8,0.509,5.0,1.4,0.8,0.4,13.1,0.8,13.6
145,Brook Lopez,MIL,C,80.0,4.9,9.7,0.509,5.0,1.8,0.6,1.9,13.0,1.1,14.8
146,Alex Sarr,WAS,C,67.0,4.9,12.4,0.394,6.5,2.4,0.7,1.5,13.0,1.7,12.9
147,Moritz Wagner,ORL,C,30.0,4.7,8.3,0.562,4.9,1.4,0.8,0.4,12.9,1.6,22.3
148,Malcolm Brogdon,WAS,PG,24.0,4.3,10.0,0.433,3.8,4.1,0.5,0.2,12.7,1.6,15.8
149,Scoot Henderson,POR,PG,66.0,4.3,10.4,0.419,3.0,5.1,1.0,0.2,12.7,2.7,12.5
150,Keldon Johnson,SAS,SF,77.0,4.8,10.0,0.482,4.8,1.6,0.6,0.3,12.7,1.0,15.6
151,D'Angelo Russell,multi_team,PG,58.0,4.3,11.0,0.39,2.8,5.1,1.0,0.4,12.6,1.9,14.0
152,D'Angelo Russell,LAL,PG,29.0,4.4,10.7,0.415,2.8,4.7,0.8,0.1,12.4,1.7,14.0
153,D'Angelo Russell,BRK,PG,29.0,4.1,11.3,0.367,2.8,5.6,1.1,0.7,12.9,2.0,14.0
154,Zaccharie Risacher,ATL,SF,75.0,4.8,10.4,0.458,3.6,1.2,0.7,0.5,12.6,1.2,12.2
155,Santi Aldama,MEM,PF,65.0,4.8,10.0,0.483,6.4,2.9,0.8,0.4,12.5,1.1,16.8
156,Ty Jerome,CLE,SG,70.0,4.6,8.8,0.516,2.5,3.4,1.1,0.0,12.5,1.3,21.0
157,Keegan Murray,SAC,PF,76.0,4.8,10.8,0.444,6.7,1.4,0.8,0.9,12.4,0.8,12.0
158,Lonnie Walker IV,PHI,SG,20.0,4.5,10.6,0.42,3.2,2.5,0.5,0.3,12.4,1.3,13.1
159,Harrison Barnes,SAS,PF,82.0,4.2,8.3,0.508,3.8,1.7,0.5,0.2,12.3,0.6,14.9
160,Bilal Coulibaly,WAS,SF,59.0,4.5,10.6,0.421,5.0,3.4,1.3,0.7,12.3,2.1,10.8
161,Ayo Dosunmu,CHI,SG,46.0,4.8,9.8,0.492,3.5,4.5,0.9,0.4,12.3,1.5,12.8
162,Daniel Gafford,DAL,C,57.0,5.0,7.1,0.702,6.8,1.4,0.4,1.8,12.3,1.2,24.7
163,Jaden McDaniels,MIN,PF,82.0,4.9,10.2,0.477,5.7,2.0,1.3,0.9,12.2,1.2,13.3
164,Jabari Smith Jr.,HOU,PF,57.0,4.4,9.9,0.438,7.0,1.1,0.4,0.7,12.2,1.1,12.6
165,Caris LeVert,multi_team,SG,64.0,4.4,9.4,0.467,3.2,3.4,0.9,0.5,12.1,1.2,15.2
166,Caris LeVert,CLE,SF,38.0,3.6,7.8,0.453,2.8,3.7,0.9,0.5,10.2,1.3,15.2
167,Caris LeVert,ATL,SG,26.0,5.6,11.6,0.482,3.7,2.9,0.9,0.5,14.9,1.0,15.2
168,Drew Timme,BRK,PF,9.0,5.0,11.3,0.441,7.2,2.2,0.4,0.1,12.1,1.7,11.0
169,Tari Eason,HOU,PF,57.0,4.8,9.8,0.487,6.4,1.5,1.7,0.9,12.0,1.1,18.5
170,Rudy Gobert,MIN,C,72.0,4.7,7.1,0.669,10.9,1.8,0.8,1.4,12.0,1.2,18.3
171,Aaron Nesmith,IND,SF,45.0,4.3,8.4,0.507,4.0,1.2,0.8,0.4,12.0,0.8,14.6
172,Aaron Wiggins,OKC,SG,76.0,4.7,9.6,0.488,3.9,1.8,0.8,0.2,12.0,0.9,16.1
173,Khris Middleton,multi_team,SF,37.0,4.3,9.1,0.475,3.7,4.1,0.9,0.2,11.9,1.5,16.7
174,Khris Middleton,MIL,SF,23.0,4.7,9.2,0.512,3.7,4.4,0.7,0.2,12.6,1.6,16.7
175,Khris Middleton,WAS,SF,14.0,3.7,9.0,0.413,3.7,3.4,1.3,0.2,10.7,1.4,16.7
176,Jalen Duren,DET,C,78.0,4.8,7.0,0.692,10.3,2.7,0.7,1.1,11.8,1.7,21.4
177,Donte DiVincenzo,MIN,SG,62.0,4.0,9.6,0.422,3.7,3.6,1.2,0.3,11.7,1.6,14.1
178,Brandin Podziemski,GSW,SG,64.0,4.4,9.8,0.445,5.1,3.4,1.1,0.2,11.7,1.2,14.4
179,Corey Kispert,WAS,SF,61.0,4.2,9.3,0.451,3.0,1.7,0.4,0.2,11.6,1.0,11.0
