id,name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points,turnovers,efficiency
362,Jamison Battle,TOR,SF,59.0,2.5,5.9,0.429,2.7,0.9,0.3,0.2,7.1,0.5,10.7
363,Alex Caruso,OKC,SG,54.0,2.6,5.8,0.446,2.9,2.5,1.6,0.6,7.1,0.7,15.9
364,Jamal Shead,TOR,PG,75.0,2.7,6.7,0.405,1.5,4.2,0.8,0.1,7.1,1.6,9.9
365,Jeff Dowtin Jr.,PHI,PG,41.0,2.7,5.6,0.487,1.5,1.9,0.6,0.3,7.0,0.4,16.1
366,Marcus Garrett,CHO,SG,4.0,2.8,6.8,0.407,1.5,3.3,0.8,0.5,7.0,1.5,8.7
367,Isaiah Jackson,IND,C,5.0,2.8,4.6,0.609,5.6,1.0,0.6,1.6,7.0,1.0,18.2
368,Jaylen Sims,CHO,SG,6.0,2.0,4.7,0.429,1.0,2.0,0.5,0.2,7.0,1.3,9.8
369,Orlando Robinson,multi_team,C,44.0,2.6,5.9,0.444,5.0,1.8,0.4,0.4,6.9,1.1,12.9
370,Orlando Robinson,SAC,C,9.0,0.8,1.9,0.412,1.6,1.0,0.3,0.1,2.1,0.4,12.9
371,Orlando Robinson,TOR,C,35.0,3.1,7.0,0.447,5.9,1.9,0.4,0.4,8.1,1.3,12.9
372,Jake LaRavia,multi_team,PF,66.0,2.4,5.1,0.475,3.9,2.4,0.9,0.3,6.9,1.3,12.6
373,Jake LaRavia,MEM,PF,47.0,2.5,5.1,0.49,4.4,2.8,0.9,0.4,7.3,1.5,12.6
374,Jake LaRavia,SAC,PF,19.0,2.2,5.1,0.438,2.8,1.3,0.9,0.2,6.1,0.9,12.6
375,Ryan Dunn,PHO,SF,74.0,2.8,6.4,0.43,3.6,0.8,0.6,0.5,6.9,0.5,10.7
376,Jay Huff,MEM,C,64.0,2.5,4.8,0.515,2.0,0.6,0.3,0.9,6.9,0.5,18.2
377,Cameron Payne,NYK,PG,72.0,2.5,6.2,0.401,1.4,2.8,0.5,0.2,6.9,0.7,13.8
378,Antonio Reeves,NOP,SG,44.0,2.6,5.6,0.456,1.4,0.9,0.5,0.1,6.9,0.7,11.7
379,Cody Martin,multi_team,SF,53.0,2.6,6.1,0.418,4.2,2.0,1.1,0.6,6.8,1.0,11.3
380,Cody Martin,CHO,SF,39.0,3.0,6.9,0.433,4.5,2.3,1.1,0.7,7.8,1.1,11.3
381,Cody Martin,PHO,SF,14.0,1.4,4.1,0.351,3.4,1.1,0.9,0.4,3.7,0.6,11.3
382,Bol Bol,PHO,PF,36.0,2.7,5.1,0.525,2.9,0.6,0.3,0.7,6.8,0.6,18.4
383,Eric Gordon,PHI,SG,39.0,2.2,5.2,0.426,1.2,1.7,0.7,0.3,6.8,0.7,10.8
384,Jaxson Hayes,LAL,C,56.0,2.9,4.0,0.722,4.8,1.0,0.6,0.9,6.8,0.8,15.8
385,Marcus Bagley,PHI,SF,10.0,2.7,6.9,0.391,7.0,1.0,0.9,1.2,6.7,0.7,11.8
386,DaQuan Jeffries,CHO,SG,47.0,2.5,6.2,0.405,2.9,1.1,0.6,0.5,6.7,0.7,7.9
387,Lester Quiñones,multi_team,SG,13.0,2.4,6.0,0.397,1.5,1.8,0.2,0.2,6.6,1.1,9.5
388,Lester Quiñones,PHI,SG,4.0,1.0,2.0,0.5,1.0,0.3,0.0,0.0,2.3,1.0,9.5
389,Lester Quiñones,NOP,SG,9.0,3.0,7.8,0.386,1.7,2.6,0.3,0.2,8.6,1.1,9.5
390,Vasilije Micić,multi_team,PG,41.0,2.3,6.7,0.348,2.2,3.1,0.4,0.0,6.6,1.9,6.5
391,Vasilije Micić,CHO,PG,36.0,2.6,7.6,0.348,2.4,3.5,0.4,0.0,7.5,2.1,6.5
392,Vasilije Micić,PHO,PG,5.0,0.0,0.0,0,0.4,0.2,0.0,0.0,0.0,0.6,6.5
393,Precious Achiuwa,NYK,C,57.0,2.9,5.7,0.502,5.6,1.0,0.8,0.7,6.6,0.8,13.6
394,Trayce Jackson-Davis,GSW,C,62.0,2.8,4.9,0.576,5.0,1.7,0.4,0.6,6.6,0.7,18.5
395,Marcus Sasser,DET,PG,57.0,2.4,5.2,0.463,1.2,2.3,0.6,0.1,6.6,0.9,14.0
396,Vince Williams Jr.,MEM,SG,27.0,2.5,6.2,0.401,3.6,2.0,0.4,0.3,6.6,1.2,9.2
397,Thomas Bryant,multi_team,C,66.0,2.5,4.9,0.508,3.8,0.8,0.4,0.6,6.5,0.5,17.2
398,Thomas Bryant,MIA,C,10.0,1.2,2.8,0.429,3.2,0.4,0.1,0.9,4.1,0.2,17.2
399,Thomas Bryant,IND,C,56.0,2.7,5.2,0.515,3.9,0.9,0.5,0.6,6.9,0.5,17.2
400,Donovan Clingan,POR,C,67.0,2.7,5.0,0.539,7.9,1.1,0.5,1.6,6.5,1.1,17.4
401,Seth Curry,CHO,SG,68.0,2.4,5.0,0.478,1.7,0.9,0.4,0.1,6.5,0.5,12.2
402,Haywood Highsmith,MIA,SF,74.0,2.4,5.3,0.458,3.4,1.5,0.9,0.5,6.5,0.7,9.9
403,Talen Horton-Tucker,CHI,SG,58.0,2.3,5.0,0.457,1.7,1.4,0.4,0.2,6.5,0.7,13.8
404,Trey Lyles,SAC,PF,69.0,2.3,5.4,0.42,4.6,1.2,0.6,0.3,6.5,0.6,12.3
405,Ajay Mitchell,OKC,SG,36.0,2.5,5.1,0.495,1.9,1.8,0.7,0.1,6.5,0.8,12.0
406,Gary Payton II,GSW,SG,62.0,2.8,4.8,0.574,3.0,1.3,0.8,0.3,6.5,0.6,16.2
407,Zach Collins,multi_team,PF,64.0,2.4,4.7,0.507,4.5,1.7,0.5,0.5,6.4,0.9,16.0
408,Zach Collins,SAS,C,36.0,1.7,3.7,0.462,2.8,1.4,0.4,0.4,4.6,0.6,16.0
409,Zach Collins,CHI,PF,28.0,3.3,6.1,0.541,6.7,2.1,0.5,0.5,8.6,1.3,16.0
410,Kris Dunn,LAC,PG,74.0,2.6,5.9,0.439,3.4,2.8,1.7,0.4,6.4,1.0,11.3
411,Ron Holland,DET,SF,81.0,2.4,5.1,0.474,2.7,1.0,0.6,0.2,6.4,0.9,11.1
412,KJ Martin,multi_team,PF,43.0,2.6,4.7,0.552,2.9,1.1,0.4,0.5,6.4,0.6,10.2
413,KJ Martin,PHI,PF,24.0,2.5,4.1,0.616,3.0,0.8,0.5,0.7,6.4,0.5,10.2
414,KJ Martin,UTA,SF,19.0,2.6,5.4,0.49,2.8,1.5,0.3,0.3,6.3,0.6,10.2
415,Gabe Vincent,LAL,PG,72.0,2.3,5.8,0.4,1.3,1.4,0.7,0.2,6.4,0.6,7.4
416,Sandro Mamukelashvili,SAS,PF,61.0,2.3,4.6,0.502,3.1,0.8,0.4,0.3,6.3,0.4,19.7
417,Jeremiah Robinson-Earl,NOP,PF,66.0,2.4,5.3,0.455,4.8,1.3,0.6,0.1,6.3,0.8,12.9
418,Kenrich Williams,OKC,PF,69.0,2.5,5.1,0.483,3.5,1.4,0.6,0.1,6.3,0.6,13.7
419,Bones Hyland,multi_team,PG,24.0,2.0,4.9,0.398,1.0,1.3,0.8,0.2,6.2,1.0,16.0
420,Bones Hyland,LAC,PG,20.0,2.3,5.8,0.391,1.2,1.4,0.9,0.2,7.2,1.2,16.0
421,Bones Hyland,MIN,PG,4.0,0.5,0.8,0.667,0.3,1.0,0.0,0.0,1.3,0.3,16.0
422,Jonathan Mogbo,TOR,PF,63.0,2.5,5.7,0.438,4.9,2.3,0.9,0.5,6.2,1.1,11.9
423,Ryan Rollins,MIL,PG,56.0,2.4,4.8,0.487,1.9,1.9,0.8,0.3,6.2,0.9,14.0
424,Dru Smith,MIA,SG,14.0,2.2,4.4,0.508,2.6,1.6,1.5,0.4,6.2,1.2,13.3
425,Isaac Okoro,CLE,SG,55.0,2.3,4.9,0.464,2.4,1.2,0.6,0.3,6.1,0.4,10.7
426,Jarace Walker,IND,PF,75.0,2.3,4.8,0.472,3.1,1.5,0.7,0.3,6.1,1.0,11.9
427,N'Faly Dante,HOU,C,4.0,2.5,3.3,0.769,5.3,0.5,0.3,1.3,6.0,0.5,24.0
428,Mouhamed Gueye,ATL,PF,33.0,2.2,5.2,0.421,4.2,0.8,0.8,1.0,6.0,0.5,14.4
429,Luke Kornet,BOS,C,73.0,2.6,3.8,0.668,5.3,1.6,0.5,1.0,6.0,0.4,19.6
430,Isaiah Mobley,PHI,PF,1.0,2.0,7.0,0.286,4.0,5.0,1.0,1.0,6.0,0.0,17.2
431,Isaiah Stewart,DET,C,72.0,2.4,4.4,0.559,5.5,1.7,0.4,1.4,6.0,0.9,14.6
432,James Wiseman,IND,C,1.0,2.0,4.0,0.5,1.0,0.0,0.0,0.0,6.0,0.0,31.2
433,Isaiah Wong,CHO,SG,20.0,2.1,5.3,0.39,1.6,1.4,0.6,0.0,6.0,0.9,10.9
434,Cole Swider,multi_team,SF,10.0,2.2,6.3,0.349,2.7,0.3,0.4,0.2,5.9,0.4,6.5
435,Cole Swider,DET,SF,2.0,0.0,2.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,6.5
436,Cole Swider,TOR,SF,8.0,2.8,7.3,0.379,3.1,0.3,0.5,0.3,7.4,0.5,6.5
437,Chuma Okeke,multi_team,PF,9.0,2.2,4.4,0.5,5.2,1.7,0.6,0.4,5.9,0.3,15.3
438,Chuma Okeke,PHI,PF,7.0,2.6,4.7,0.545,6.1,1.9,0.7,0.4,6.9,0.4,15.3
439,Chuma Okeke,CLE,PF,2.0,1.0,3.5,0.286,2.0,1.0,0.0,0.5,2.5,0.0,15.3
440,Kyle Anderson,multi_team,PF,61.0,2.3,5.0,0.469,3.4,2.4,0.7,0.5,5.9,0.6,15.1
441,Kyle Anderson,GSW,PF,36.0,2.1,4.7,0.45,3.1,2.3,0.7,0.6,5.3,0.6,15.1
442,Kyle Anderson,MIA,SF,25.0,2.6,5.4,0.493,3.8,2.6,0.6,0.5,6.7,0.7,15.1
443,Simone Fontecchio,DET,SF,75.0,2.0,5.0,0.402,2.9,0.9,0.4,0.2,5.9,0.7,9.7
444,Collin Gillespie,PHO,PG,33.0,2.1,4.8,0.43,2.4,2.4,0.6,0.2,5.9,0.5,16.8
445,Tidjane Salaün,CHO,PF,60.0,1.9,5.8,0.33,4.7,1.2,0.5,0.2,5.9,1.0,7.7
446,Jaylin Williams,OKC,PF,47.0,2.1,4.7,0.439,5.6,2.6,0.5,0.6,5.9,0.7,16.4
447,Moses Brown,multi_team,C,13.0,2.6,3.8,0.694,3.4,0.2,0.5,0.3,5.8,0.8,22.4
448,Moses Brown,IND,C,9.0,1.4,2.2,0.65,1.4,0.0,0.2,0.1,3.2,0.7,22.4
449,Moses Brown,DAL,C,4.0,5.3,7.3,0.724,7.8,0.5,1.0,0.8,11.8,1.3,22.4
450,Adem Bona,PHI,C,58.0,2.3,3.3,0.703,4.2,0.5,0.4,1.2,5.8,1.1,16.5
451,Quenton Jackson,IND,PG,28.0,2.1,4.4,0.475,1.6,1.9,0.8,0.2,5.8,0.6,14.7
452,Robert Williams,POR,C,20.0,2.5,3.9,0.641,5.9,1.1,0.7,1.7,5.8,0.9,18.9
453,Moussa Diabaté,CHO,C,71.0,2.4,3.9,0.596,6.2,0.8,0.6,0.6,5.7,0.9,16.5
454,Dariq Whitehead,BRK,SF,20.0,2.0,4.8,0.406,1.5,0.6,0.3,0.1,5.7,0.8,9.4
455,Landry Shamet,NYK,SG,50.0,2.1,4.6,0.461,1.2,0.5,0.5,0.0,5.7,0.4,9.7
456,Jordan Goodwin,LAL,PG,29.0,2.2,5.0,0.438,3.9,1.4,1.0,0.4,5.6,0.9,12.1
457,Shake Milton,multi_team,SG,57.0,2.0,4.5,0.453,1.8,1.8,0.4,0.1,5.5,0.7,11.9
458,Shake Milton,BRK,SG,27.0,2.7,5.8,0.465,1.9,2.4,0.6,0.0,7.4,0.7,11.9
459,Shake Milton,LAL,SG,30.0,1.4,3.2,0.433,1.8,1.3,0.3,0.1,3.9,0.7,11.9
460,Aaron Holiday,HOU,PG,62.0,1.9,4.3,0.437,1.3,1.3,0.3,0.2,5.5,0.6,12.2
461,Jeff Green,HOU,PF,32.0,1.9,3.8,0.504,1.8,0.6,0.2,0.1,5.4,0.3,13.6
462,Jonathan Isaac,ORL,PF,71.0,1.9,4.6,0.414,4.4,0.6,0.9,1.1,5.4,0.5,16.6
463,Dean Wade,CLE,PF,59.0,1.9,4.6,0.413,4.2,1.3,0.7,0.3,5.4,0.4,10.1
464,Keaton Wallace,ATL,PG,31.0,2.1,5.2,0.401,1.6,2.6,0.9,0.3,5.4,1.1,10.1
465,Kobe Bufkin,ATL,SG,10.0,1.8,4.7,0.383,2.1,1.7,0.3,0.2,5.3,0.8,10.5
466,Jamal Cain,NOP,SF,37.0,1.8,4.3,0.43,2.3,0.6,0.6,0.2,5.3,0.6,11.4
467,Pat Connaughton,MIL,SG,41.0,2.0,4.3,0.469,2.7,1.7,0.2,0.3,5.3,0.6,12.1
468,Kevin Love,MIA,PF,23.0,1.8,5.0,0.357,4.1,1.0,0.7,0.2,5.3,0.6,16.2
469,Ben Sheppard,IND,SG,63.0,1.9,4.6,0.418,2.8,1.3,0.6,0.2,5.3,0.3,9.2
470,Monte Morris,PHO,PG,45.0,1.8,4.3,0.426,1.5,1.6,0.4,0.1,5.2,0.5,13.1
471,Jabari Walker,POR,SF,60.0,2.0,3.8,0.515,3.5,0.6,0.6,0.1,5.2,0.6,15.0
472,Javonte Green,multi_team,SG,68.0,1.8,4.2,0.429,3.2,0.8,1.0,0.5,5.1,0.5,10.7
473,Javonte Green,NOP,SG,50.0,2.0,4.5,0.446,3.6,0.9,1.1,0.6,5.8,0.6,10.7
474,Javonte Green,CLE,SG,18.0,1.3,3.5,0.365,2.2,0.6,0.6,0.1,3.3,0.2,10.7
475,Alex Reese,multi_team,PF,15.0,1.7,3.6,0.481,3.1,0.3,0.7,0.7,5.1,0.4,14.0
476,Alex Reese,OKC,PF,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0
477,Alex Reese,PHI,PF,14.0,1.8,3.8,0.472,3.3,0.3,0.7,0.7,5.3,0.4,14.0
478,Bismack Biyombo,SAS,C,28.0,2.4,4.1,0.588,5.6,1.1,0.6,0.8,5.1,1.0,12.2
479,Mitchell Robinson,NYK,C,17.0,2.2,3.3,0.661,5.9,0.8,0.9,1.1,5.1,0.6,20.4
480,Kai Jones,multi_team,C,40.0,2.2,2.7,0.798,3.1,0.6,0.4,0.6,5.0,0.5,20.2
481,Kai Jones,LAC,C,28.0,0.9,1.3,0.722,1.6,0.4,0.2,0.5,2.2,0.4,20.2
482,Kai Jones,DAL,C,12.0,5.1,6.1,0.836,6.6,1.3,0.8,0.8,11.4,0.7,20.2
483,Ben Simmons,multi_team,PG,51.0,2.3,4.4,0.52,4.7,5.6,0.7,0.5,5.0,2.0,12.4
484,Ben Simmons,BRK,PG,33.0,2.8,5.2,0.547,5.2,6.9,0.8,0.5,6.2,2.7,12.4
485,Ben Simmons,LAC,PG,18.0,1.3,2.9,0.434,3.8,3.1,0.7,0.4,2.9,0.8,12.4
486,Malaki Branham,SAS,SG,47.0,1.9,4.0,0.458,1.1,0.8,0.2,0.0,5.0,0.7,12.0
487,Neemias Queta,BOS,C,62.0,2.1,3.3,0.65,3.8,0.7,0.3,0.7,5.0,0.6,16.3
488,Alondes Williams,DET,SG,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,53.4
489,Jaylen Martin,multi_team,SF,16.0,1.9,4.6,0.419,2.8,1.1,0.6,0.0,4.9,0.8,9.1
490,Jaylen Martin,BRK,SF,3.0,0.3,0.7,0.5,0.0,0.0,0.0,0.0,1.0,0.0,9.1
491,Jaylen Martin,WAS,SF,13.0,2.3,5.5,0.417,3.4,1.3,0.7,0.0,5.8,0.9,9.1
492,Lindy Waters III,multi_team,SG,52.0,1.8,4.8,0.369,2.1,1.0,0.5,0.2,4.9,0.4,8.8
493,Lindy Waters III,GSW,SG,38.0,2.0,5.4,0.371,2.5,1.1,0.6,0.3,5.5,0.4,8.8
494,Lindy Waters III,DET,SG,14.0,1.1,3.1,0.364,1.0,0.7,0.4,0.1,3.4,0.2,8.8
495,Trevelin Queen,ORL,SG,31.0,1.8,4.7,0.381,1.7,1.2,1.0,0.3,4.9,0.7,11.9
496,Jock Landale,HOU,C,42.0,1.9,3.6,0.533,3.3,0.9,0.3,0.2,4.8,0.5,16.0
497,Colin Castleton,multi_team,C,26.0,1.8,3.8,0.469,4.7,1.1,0.3,0.4,4.7,0.9,11.3
498,Colin Castleton,MEM,C,10.0,0.2,1.0,0.2,0.9,0.0,0.1,0.1,1.4,0.1,11.3
499,Colin Castleton,TOR,C,11.0,2.9,5.8,0.5,6.9,1.6,0.5,0.7,7.2,1.9,11.3
500,Colin Castleton,PHI,C,5.0,2.4,4.8,0.5,7.4,2.0,0.2,0.2,6.0,0.2,11.3
501,Taylor Hendricks,UTA,PF,3.0,1.3,6.0,0.222,5.0,0.7,1.7,1.3,4.7,0.7,7.1
502,David Roddy,multi_team,PF,33.0,1.7,3.8,0.456,2.5,1.1,0.4,0.3,4.6,0.7,11.9
503,David Roddy,ATL,PF,27.0,1.6,3.4,0.473,2.6,1.1,0.4,0.3,4.5,0.7,11.9
504,David Roddy,PHI,PF,3.0,2.7,6.3,0.421,3.0,1.0,0.7,0.0,6.0,0.3,11.9
505,David Roddy,HOU,PF,3.0,1.7,4.3,0.385,1.7,0.7,0.0,0.3,4.3,0.3,11.9
506,Drew Eubanks,multi_team,C,61.0,1.9,3.2,0.593,3.7,0.9,0.2,0.6,4.6,0.7,15.6
507,Drew Eubanks,UTA,C,37.0,2.4,3.9,0.607,4.5,1.2,0.3,0.9,5.8,0.8,15.6
508,Drew Eubanks,LAC,C,24.0,1.1,2.0,0.551,2.4,0.4,0.1,0.3,2.7,0.4,15.6
509,Pelle Larsson,MIA,SG,55.0,1.6,3.7,0.438,1.7,1.2,0.6,0.1,4.6,0.4,10.2
510,Julian Phillips,CHI,SF,79.0,1.6,3.6,0.446,2.1,0.5,0.5,0.3,4.6,0.3,10.2
511,Cody Williams,UTA,SG,50.0,1.7,5.1,0.323,2.3,1.2,0.5,0.3,4.6,0.9,3.7
512,Rob Dillingham,MIN,PG,49.0,1.9,4.3,0.441,1.0,2.0,0.4,0.0,4.5,1.1,10.2
513,Jett Howard,ORL,SF,60.0,1.6,4.4,0.374,1.2,0.7,0.2,0.2,4.5,0.6,7.1
514,Kevon Looney,GSW,C,76.0,1.9,3.7,0.514,6.1,1.6,0.6,0.5,4.5,0.5,17.0
515,Mason Plumlee,PHO,C,74.0,1.7,2.7,0.619,6.1,1.8,0.4,0.6,4.5,0.8,14.8
516,Dalen Terry,CHI,SG,73.0,1.6,3.7,0.448,1.7,1.3,0.6,0.2,4.5,0.7,9.6
517,Marvin Bagley III,multi_team,PF,31.0,1.8,3.4,0.519,2.7,0.4,0.3,0.3,4.4,0.4,18.4
518,Marvin Bagley III,WAS,C,19.0,2.0,3.7,0.535,2.9,0.4,0.4,0.3,4.9,0.6,18.4
519,Marvin Bagley III,MEM,PF,12.0,1.4,2.9,0.486,2.3,0.3,0.2,0.3,3.6,0.1,18.4
520,Charles Bassey,SAS,C,36.0,1.9,3.3,0.581,4.2,0.5,0.4,0.8,4.4,0.6,19.0
521,Tony Bradley,IND,C,14.0,2.1,3.2,0.644,3.0,0.4,0.1,0.6,4.4,0.4,23.2
522,Reggie Jackson,PHI,PG,31.0,1.7,4.3,0.391,1.4,1.5,0.5,0.1,4.4,0.5,9.8
523,Reed Sheppard,HOU,PG,52.0,1.6,4.6,0.351,1.5,1.4,0.7,0.3,4.4,0.7,9.7
524,Lamar Stevens,MEM,PF,17.0,1.7,3.7,0.46,2.2,0.5,0.3,0.2,4.4,0.6,11.5
525,Mo Bamba,multi_team,C,32.0,1.6,3.5,0.464,4.5,0.6,0.3,1.0,4.3,0.6,13.9
526,Mo Bamba,LAC,C,28.0,1.7,3.7,0.466,4.3,0.6,0.3,1.0,4.6,0.7,13.9
527,Mo Bamba,NOP,C,4.0,1.0,2.3,0.444,6.3,0.5,0.0,0.8,2.5,0.3,13.9
528,Jevon Carter,CHI,PG,36.0,1.5,4.1,0.377,1.1,1.1,0.4,0.1,4.3,0.3,12.2
529,Micah Potter,UTA,C,38.0,1.5,3.6,0.422,4.3,0.8,0.4,0.4,4.3,0.8,8.5
530,Terrence Shannon Jr.,MIN,SG,32.0,1.7,3.6,0.482,1.5,1.0,0.2,0.2,4.3,0.5,11.9
531,Daniel Theis,NOP,C,38.0,1.6,3.4,0.473,4.3,1.6,0.5,0.5,4.3,0.7,12.1
532,Torrey Craig,multi_team,SF,26.0,1.5,3.5,0.422,2.8,0.7,0.3,0.5,4.2,0.3,12.9
533,Torrey Craig,CHI,SF,9.0,2.4,5.0,0.489,2.8,0.6,0.2,0.1,6.9,0.0,12.9
534,Torrey Craig,BOS,SF,17.0,0.9,2.6,0.356,2.8,0.7,0.4,0.6,2.7,0.5,12.9
535,Wendell Moore Jr.,multi_team,SG,36.0,1.6,3.5,0.468,2.6,1.2,0.6,0.1,4.2,0.8,11.0
536,Wendell Moore Jr.,DET,SG,20.0,1.2,2.5,0.46,2.2,1.2,0.5,0.2,3.2,0.5,11.0
537,Wendell Moore Jr.,CHO,SG,16.0,2.3,4.8,0.474,3.2,1.2,0.6,0.1,5.4,1.1,11.0
538,Dominick Barlow,ATL,SF,35.0,1.7,3.2,0.531,2.4,0.5,0.3,0.5,4.2,0.1,14.6
539,Kessler Edwards,DAL,SF,40.0,1.7,3.4,0.496,2.9,1.1,0.5,0.5,4.2,0.4,11.3
540,Oso Ighodaro,PHO,PF,61.0,1.9,3.1,0.604,3.6,1.2,0.5,0.5,4.2,0.6,11.1
541,Kris Murray,POR,SF,69.0,1.7,4.0,0.419,2.6,1.0,0.5,0.2,4.2,0.6,9.1
542,Duop Reath,POR,C,46.0,1.5,3.6,0.422,2.0,0.6,0.3,0.3,4.2,0.3,13.7
543,Cam Spencer,MEM,SG,25.0,1.4,3.3,0.415,1.2,1.4,0.4,0.0,4.2,0.2,14.2
544,Maxwell Lewis,multi_team,SF,28.0,1.6,3.9,0.417,2.0,0.7,0.3,0.3,4.1,0.5,9.9
545,Maxwell Lewis,LAL,SF,7.0,0.3,0.9,0.333,0.3,0.3,0.1,0.0,0.6,0.3,9.9
546,Maxwell Lewis,BRK,SF,21.0,2.0,4.9,0.422,2.5,0.8,0.4,0.3,5.3,0.6,9.9
